Wnd,H2O,Hs,LE,Ustar,L
1.75856,0.88443,-10.751,0.49856,0.12589,14.232399266240748
0.20933,0.92835,20.9368,-2.39043,0.18167,-22.051256921644537
1.42862,1.08936,-9.22457,1.29499,0.12,14.449938989146492
2.8851,1.08286,-16.2017,-0.45579,0.18104,27.969420100689913
3.60584,1.09599,-18.2743,2.02413,0.23289,53.216650898770105
3.77221,1.12709,-20.7635,1.19209,0.2324,46.391752577319586
3.83849,1.08624,-26.3426,0.48581,0.23135,35.99136207310246
3.82278,1.12285,-29.2493,0.58552,0.25431,43.0622009569378
3.94243,1.16678,-28.4539,1.29784,0.28701,63.72132540356839
3.57346,1.19117,-19.7821,0.25589,0.24544,57.21551176096631
3.33265,1.17348,-18.7729,1.15068,0.23919,55.95622979358368
3.38871,1.21066,-24.1971,0.9118,0.2401,43.85537471981288
3.81106,1.16265,-25.4692,2.37373,0.24886,46.54530409598676
4.05076,1.11705,-29.2621,0.72855,0.25899,45.486707773172945
4.12542,1.08923,-26.2883,2.11019,0.23892,39.8936170212766
3.70074,1.00358,-32.2048,1.86771,0.24029,33.090668431502316
3.3892,0.98104,-32.7836,0.98823,0.21958,24.77155124958714
3.05409,0.9456,-22.1678,1.26746,0.18826,23.132678764200893
2.72147,0.85628,-13.3334,1.85949,0.18491,36.63003663003663
2.80288,0.78624,-12.0432,4.78989,0.22031,69.6594427244582
2.33696,0.77135,6.49713,4.49752,0.2023,-93.9261114589856
1.8454,0.82773,35.6275,2.8588,0.18107,-12.717971907413164
1.8936,0.75555,49.7031,8.38824,0.22494,-17.38660072637354
1.06321,0.79419,85.9021,7.97769,0.1722,-4.532406707961928
0.96796,0.74609,90.3454,8.24921,0.274,-17.355754396791113
0.55071,0.60246,131.091,1.75363,0.22041,-6.252257759746575
0.8377,0.77954,173.982,-2.77576,0.21484,-4.370162472929271
1.08021,1.00771,137.873,19.9487,0.28695,-13.01142113633078
0.49468,1.07655,144.49,5.86017,0.16066,-2.1918608898955214
0.62514,1.09955,153.97,16.2504,0.25569,-8.255063105371294
0.98015,0.98127,170.425,-1.09648,0.22493,-5.108875820258396
0.86396,0.87395,183.653,5.42781,0.29453,-10.617464549465588
1.11099,0.90013,128.042,4.44778,0.19319,-4.296147787483889
1.68677,0.94894,133.711,4.21691,0.39119,-34.163376860006075
0.67851,0.93812,98.7268,3.59022,0.17953,-4.471205436985811
2.12447,0.9766,53.7962,2.39078,0.23945,-19.46030098598858
2.06603,1.02625,37.2462,1.00316,0.18289,-12.539010254123944
2.63815,1.09602,13.3671,0.78609,0.22171,-62.13753106876553
2.13663,1.14139,-4.81517,-1.25058,0.17872,89.28571428571429
2.79621,0.83776,-15.9757,2.79865,0.20528,41.85267857142857
2.63268,0.70368,-6.48363,3.92989,0.19457,90.16229212582648
1.35178,0.48829,-12.5111,-2.0332,0.15221,21.36650681354162
2.63026,0.71885,8.24308,-5.21185,0.16622,-44.29133858267717
2.99856,0.33683,8.483976666666667,,0.07677,5.791878499259926
3.53581,0.18542,8.724873333333333,,0.08627,10.705873956177289
2.96259,0.1684,8.96577,-2.10479,0.12401,-16.512549537648614
2.45543,0.1165,-8.3894,0.27443,0.11192,12.820878087694805
2.43349,0.32524,5.25803,-3.53623,0.13384,-36.3166814623517
2.06189,0.40458,12.5641,-3.52245,0.17812,-35.00583430571762
0.87578,0.2524,29.9285,-1.63504,0.20161,-21.026072329688816
0.20371,0.20845,-4.970749999999995,,0.54449,43.9453125
0.85072,0.38565,-39.87,12.1975,0.20251,16.21504756413952
1.75583,0.34964,12.7048,-0.64475,0.14863,-19.82029598308668
2.18298,0.47532,12.7819,-2.95326,0.20515,-52.337752965806
2.37801,0.67477,3.01631,-2.24921,0.18184,-159.1230551626591
1.05128,0.54498,-22.9218,-1.07425,0.20009,26.655609524937805
2.29404,0.558,-2.16771,-1.36246,0.11419,50.73852745518096
2.38051,0.88024,18.2967,5.93813,0.14574,-12.707915619440287
3.99615,0.89603,-16.6512,-2.24025,0.14416,13.656227239621268
2.38734,0.57391,-15.5751,0.30085,0.10769,6.137312130056463
0.68374,0.36493,21.0844,-0.99667,0.32578,-125.69832402234636
0.68663,0.45789,-8.05386,1.05261,0.18322,58.84660651235779
0.19385,0.48263,1.00476,2.26068,0.14942,-225.67703109327985
0.50843,0.49767,-9.10482,,0.09902,3.5412994208008057
0.56848,0.59193,-19.2144,6.27412,0.27178,81.46270818247648
0.87169,0.62636,-24.2795,1.28865,0.20356,26.676151520540635
0.40022,0.66017,-9.21907,0.31984,0.21854,86.87258687258688
1.41283,0.55808,5.63251,1.40682,0.11127,-18.46987358397636
1.75477,0.36961,32.9154,2.32218,0.18421,-14.482958385632903
1.7474,0.31501,43.348,2.96391,0.15076,-6.029019681399804
1.49808,0.33513,58.9486,5.27681,0.10253,-1.3922405791720809
1.29397,0.49315,86.7144,6.12759,0.11248,-1.250656594712224
1.42703,0.58115,134.38,15.2142,0.19869,-4.435726325542884
1.22927,0.67227,132.416,9.06688,0.27077,-11.420450219526431
1.73938,0.79388,132.685,5.616,0.26803,-11.067932510207092
1.49673,0.76358,156.573,8.85222,0.17797,-2.7418794669786317
1.77389,0.56538,158.589,10.9472,0.38729,-27.85687755354711
2.43545,0.48724,163.366,4.3482,0.36153,-22.040456482343146
2.73306,0.4185,78.1319,4.6108,0.29082,-23.937443481036222
2.87333,0.51739,81.1122,-3.10302,0.35459,-42.02857943401513
3.25878,0.38387,141.92,6.76559,0.38705,-31.070910722916526
3.70088,0.50148,71.1505,-1.11936,0.32219,-35.882306036201264
4.23883,0.48953,30.8913,0.7631,0.33824,-95.3996184015264
4.30361,0.51728,21.6845,2.69701,0.30716,-101.21457489878544
3.95834,0.52146,20.7009,1.15437,0.32223,-122.9172357279432
3.12719,0.5681,8.3757,0.7224,0.25711,-154.1095890410959
2.768,0.58795,0.42116,1.19616,0.21295,-1500.0
3.13457,0.61218,-3.2164,0.427,0.22854,285.7142857142857
3.02029,0.67306,-9.00892,2.67003,0.25584,144.60154241645245
3.67183,0.63957,-6.8662,2.33414,0.26783,218.34061135371175
3.3111,0.50735,-9.69547,3.38646,0.23933,110.37527593818984
2.36668,0.42378,-7.48717,2.30431,0.17568,56.39804486777792
2.1775,0.36273,-8.44342,2.09481,0.16341,40.11410233553218
2.23164,0.43349,1.75926,-7.85738,0.18882,-396.82539682539687
2.96475,1.15618,-0.18969,34.875,0.16484,-185.03289473684208
5.66974,1.94329,-7.76773,-4.50556,0.42421,728.1553398058253
5.24881,2.4152,-9.46215,-0.62302,0.48149,900.0
6.87233,2.87316,12.3686,-28.4004,0.59068,-1475.4098360655737
6.65194,3.17605,-4.50358,3.07974,0.41068,1229.5081967213114
6.09336,3.63146,4.46663,-6.86047,0.46219,-1859.504132231405
3.65167,3.88371,0.60676,0.39301,0.27846,-2631.5789473684213
0.32452,3.69618,15.0244,-20.5859,0.3154,-174.0139211136891
2.08684,3.43728,32.9189,-83.3516,0.44379,-238.47376788553257
4.89812,3.1438,-3.90425,-4.88304,0.53525,2812.5
3.72746,3.35431,-4.24543,1.6757,0.2977,487.012987012987
3.2873,2.88814,-5.49697,-2.50519,0.25539,225.9036144578313
3.72832,3.29384,-8.95892,1.05459,0.24389,124.79201331114808
4.46494,3.51269,-14.3537,-4.50816,0.34192,209.30232558139537
3.97375,3.66116,-15.1229,-6.4538,0.29431,125.94458438287154
4.06125,3.62596,-13.4531,-1.149,0.2555,94.4386149003148
2.22765,3.47601,-4.19046,2.24715,0.17876,107.62975364745276
2.01947,3.46632,-9.85178,-6.63012,0.2545,123.32145793368043
2.28253,3.6075,-27.752,-18.331,0.30082,72.3589001447178
2.37327,2.81244,-5.0048,6.15953,0.13687,42.09935447656469
2.09882,1.94636,-3.81515,-25.0989,0.11098,19.988451117132325
2.27106,1.60234,13.5135,-0.21996,0.15916,-22.82525995434948
1.3858,1.88434,-6.48635,-5.18008,0.12715,23.173180905298935
0.2904,2.0684,69.752,33.5379,0.35704,-48.543689320388346
0.39571,2.04164,64.0863,12.5885,0.11004,-1.5713771898887117
0.52853,1.81967,86.8423,2.10251,0.09664,-0.7928858755310133
1.03502,1.53864,130.861,7.83925,0.13501,-1.430838057748624
0.56045,1.18314,139.555,14.556,0.13833,-1.438618925831202
1.2616,0.80451,194.207,28.9512,0.27028,-7.685869955080361
2.26388,0.46357,215.032,28.6992,0.38723,-20.41742286751361
3.93235,0.56557,232.897,0.49987,0.3204,-10.756286451859642
3.40747,0.47884,238.454,4.92585,0.37018,-16.175994823681656
2.35921,0.60793,184.869,4.18167,0.31231,-12.52365579427808
2.44031,0.70172,220.956,5.41641,0.35794,-15.768449085429951
2.83272,0.7984,153.801,2.20298,0.16641,-2.2774201384671446
1.98173,0.72222,133.71,2.72716,0.30402,-15.964806471068222
1.99894,0.72897,114.74,3.19577,0.25266,-10.671599317017645
1.72454,0.72108,61.2393,1.38456,0.23998,-17.137634244801585
2.10317,0.754,37.9036,1.10198,0.23539,-26.121785569164683
2.0956,0.83779,12.5741,1.04732,0.26823,-116.12903225806453
1.38148,1.02026,9.46151,-2.03678,0.21776,-84.11214953271028
0.63951,1.11282,-6.35158,-2.06171,0.10581,13.927576601671309
0.19438,1.22176,3.9238099999999996,,0.06081,-10.09194886745907
0.42398,1.21254,14.1992,-2.44785,0.13588,-13.59352344127598
2.86578,1.14658,-0.65547,4.19465,0.13906,501.1135857461024
3.43883,0.95587,-2.924595,,0.08656,21.214406939468223
3.53221,0.98303,-5.19372,-0.34775,0.12163,26.27276973376927
3.64858,1.03416,0.58716,-0.24197,0.10762,-165.62384983437616
3.11401,1.04429,-8.9028,-0.12129,0.1113,11.781955280934175
3.13641,1.05127,-7.847373333333333,,0.09651,14.7977638934561
3.23259,1.0686,-6.791946666666666,,0.07701,13.26025459688826
3.35214,1.05343,-5.73652,0.00456,0.10525,15.464448950135742
3.19039,1.0992,4.743240000000001,,0.08917,9.301941005023048
0.75243,1.13615,15.223,-0.04853,0.44077,-427.75665399239546
1.64,1.20275,-27.6903,-0.55919,0.12807,5.761991344208559
2.31212,1.30994,-16.2089,-1.42795,0.16346,20.388745412532284
2.28424,1.33385,-14.8629,-0.80531,0.20949,46.89942678478374
1.53059,1.35137,-20.8956,-0.97107,0.20253,30.146714008173102
1.53959,1.34261,-5.32049,0.41287,0.18838,95.92837348113407
1.89234,1.32225,-16.466,-1.1676,0.18017,26.881720430107528
2.23301,1.28103,-10.0589,-2.19847,0.12896,16.001706848730528
2.44533,1.08432,54.5214,10.8001,0.21297,-13.310852781968231
2.59474,1.07072,34.004,,0.06245,1.086392332484338
1.23728,1.04844,13.4866,1.40606,0.13714,-14.441591784338897
1.00644,1.03563,46.60105,,0.05552,-1.7320616152051918
0.20807,1.0422,79.7155,0.62195,0.28065,-21.05460160014972
1.16306,1.05515,11.6252,2.82606,0.1104,-8.676371348693722
0.34313,1.06052,-5.41711,-1.16253,0.21807,143.7699680511182
1.88276,1.03783,-17.0288,-0.10593,0.19635,33.79393211174527
1.73862,1.26201,13.8017,4.74477,0.10034,-5.46202677606904
1.50429,1.37009,-16.6335,4.78507,0.09395,3.857495542449595
0.54471,1.39759,-77.4877,9.89671,0.25596,16.590473381507152
0.90533,1.26996,55.3186,9.33985,0.14098,-3.81604945600095
1.29207,1.20099,93.0073,9.10795,0.11256,-1.1597938144329898
2.26069,1.17727,178.307,16.5507,0.18801,-2.8193722197857274
3.52556,1.10457,207.793,10.4329,0.43495,-30.02201614517313
4.06439,1.02387,252.818,8.08599,0.50051,-37.622272385252074
4.14997,1.08579,248.572,11.607,0.43939,-25.859096655556833
3.74945,1.15319,235.281,5.8939,0.43507,-26.547106365406172
3.65467,1.14274,212.353,4.19064,0.50965,-47.27387330601954
4.1885,1.11881,157.51,9.20279,0.40262,-31.337047353760443
4.32832,1.04163,151.114,1.90534,0.49991,-62.68282490597576
4.00504,1.03865,122.392,4.98625,0.44085,-52.978573110430894
3.68546,1.00743,116.946,3.81346,0.51125,-86.50519031141869
4.51088,1.02543,81.4396,2.12314,0.48963,-109.17030567685588
4.26738,1.05479,56.1053,1.76084,0.59607,-285.89580686149935
4.26899,1.11645,25.9897,2.59332,0.49953,-361.7363344051447
3.63235,1.20128,25.6795,-3.08485,0.42975,-236.46873357856015
3.83005,1.27096,2.92273,-0.27035,0.37444,-1371.9512195121952
3.50383,1.31487,-2.95974,-1.7066,0.40169,1607.142857142857
4.78214,1.08967,-5.80236,31.274,0.60726,4326.923076923077
4.69703,0.66187,-9.28458,1.17077,0.41378,584.4155844155844
3.17805,0.43982,-4.28979,1.28682,0.22913,217.1814671814672
1.53446,0.49469,-13.0844,2.59305,0.15193,20.64504289581135
1.06458,0.63253,-0.98232,-1.22676,0.10593,85.84509729111026
2.34427,0.638,-16.8683,-0.16374,0.11998,7.796663028223921
3.40651,0.36481,-6.47159,7.94971,0.2319,158.17223198594024
2.67094,0.28266,-5.83348,3.03556,0.18118,80.11393982552964
2.33957,0.1348,-12.3805,-0.29525,0.17289,31.766200762388817
1.87478,-0.00667,-10.152375,,0.09289,7.740337478714071
2.18849,0.02735,-7.92425,,0.09949,5.850690381465013
2.05975,0.03925,-5.696125,,0.0998,9.564699880972624
1.66691,-0.04128,-3.468,-3.68338,0.11416,34.932463903120635
2.61417,-0.23354,-19.9744,1.97409,0.17413,23.15291212183577
2.65512,-0.24438,-16.2383,0.34663,0.16251,22.97794117647059
2.42808,-0.34458,-18.2128,0.2863,0.13142,10.802246867348408
2.39064,-0.41215,-18.5993,-0.89879,0.13328,10.979626692692449
2.6846,-0.60784,-21.2263,0.63238,0.16482,18.26446951862976
2.84158,-0.71315,-23.6699,3.44717,0.18533,23.44971339239187
1.86597,-0.73802,-19.820366666666665,,0.07202,2.706718074260314
1.4047,-0.69511,-15.970833333333331,,0.0674,1.484007347485267
1.71115,-0.66926,-12.1213,1.23737,0.16628,32.66787658802178
1.30392,-0.63763,-11.4073,-0.72786,0.1463,23.32573087290068
2.23225,-0.50567,-8.107205,,0.05749,2.319468068656255
