Wnd,H2O,Hs,LE,Ustar,L
2.59347,5.46219,-13.8181,-0.747241,0.106447,6.65988
3.37369,5.380596000000001,-6.96972,1.16967,0.107996,13.789
4.51565,5.26716,-13.5163,-0.702852,0.085583,3.53854
4.51567,5.187546,-30.9186,-1.26646,0.103698,2.75249
4.00354,5.199012,-12.9784,1.12573,0.164288,26.0859
2.97651,5.217606000000001,4.39185,0.0722674,0.0812495,-9.32892
1.38447,5.267322,3.29862,2.5522,0.0718941,-8.60991
1.24914,5.215698000000001,25.7853,6.28526,0.075151,-1.25806
1.89489,5.319594,58.7458,0.869674,0.183163,-7.99486
2.35816,5.398992,98.7817,9.17625,0.218716,-8.09642
2.43832,5.510502000000001,113.858,2.70894,0.200074,-5.37758
2.60707,5.688701999999999,168.192,12.9848,0.214178,-4.46645
2.3576,5.496498,230.034,27.7516,0.214743,-3.29163
3.02293,5.462928,225.071,22.9734,0.253538,-5.53588
3.75581,5.469444,300.785,24.9115,0.220753,-2.73349
3.97749,5.11569,319.022,30.7654,0.322712,-8.04882
3.81897,5.018922000000001,313.347,19.5091,0.358444,-11.2258
3.43808,5.09382,290.461,19.0901,0.41191,-18.3733
3.31312,5.03712,320.593,26.234,0.428564,-18.745
2.93755,4.994766,209.753,7.26907,0.478365,-39.8304
3.23406,5.00481,236.96,16.4309,0.315652,-10.1262
2.48217,4.96692,220.151,15.9937,0.379564,-18.9473
2.76796,4.983461999999999,163.559,9.12538,0.2472,-7.04253
3.43417,4.97403,190.419,8.54356,0.22011,-4.26926
3.3253,4.966632,170.824,10.7124,0.403697,-29.3599
3.31494,4.976658,96.075,4.59282,0.25266,-12.7966
2.58714,5.0111099999999995,59.9821,2.48493,0.318195,-40.9406
2.59326,5.040684000000001,16.8942,-1.66635,0.192066,-31.9684
1.58242,5.062968,-3.03799,-1.73316,0.0809546,13.312
0.721852,5.186196,-9.56781,-0.982124,0.146734,25.1717
3.12369,5.012460000000001,-10.9725,-2.02368,0.0429888,0.551902
4.57124,4.882823999999999,-15.8305,-1.96224,0.152245,16.9933
4.96243,4.90383,-24.4194,-0.777793,0.193701,22.6969
5.29547,4.93182,-33.3911,-2.19634,0.206675,20.1662
5.33252,4.942997999999999,-37.7788,-2.39958,0.215614,20.2374
5.05823,4.963392000000001,-35.8826,-1.81083,0.243248,30.5886
4.92611,4.953150000000001,-27.5104,-1.45532,0.200581,22.363
5.33415,4.976424,-34.829,-1.80001,0.194406,16.0865
5.62641,4.998366,-42.4851,-2.0398,0.227328,21.0826
5.8952,5.006609999999999,-45.0331,-1.99935,0.256112,28.4369
5.72597,5.010714,-45.2467,-1.96253,0.250814,26.5789
4.76465,5.0283180000000005,-54.8476,-0.208106,0.370109,70.4306
0.677291,5.285232,-11.7724,-1.55966,0.18677,42.1551
0.31553,5.18472,4.01251,4.72266,0.289941,-462.694
0.246938,5.074272,-22.6887,-1.06664,0.11693,5.36655
4.64357,5.044932,-40.3854,-1.75795,0.265369,35.2359
3.105,5.088563999999999,-37.7406,-2.68794,0.174992,10.8092
0.360466,5.139198,-1.2884,-4.82766,0.188997,398.962
0.989466,5.13162,-45.2089,-4.15814,0.203714,14.236
2.10171,5.128182,-62.1296,-4.78124,0.208932,11.1765
2.25465,5.1332759999999995,-35.9872,-2.82976,0.121262,3.7726
4.26875,5.21019,-43.9371,-2.32295,0.2237,19.3966
5.88073,5.269086,-45.6979,-1.09626,0.27489,34.6128
5.1427,5.334606000000001,-25.6336,0.659293,0.286695,70.0301
3.16105,5.37012,-10.6401,2.72974,0.313222,220.041
1.16693,5.4570419999999995,82.7504,3.68384,0.173468,-4.8041
1.62508,5.32278,93.6708,10.4933,0.147218,-2.59412
2.02733,5.445323999999999,104.149,12.2398,0.143724,-2.17109
2.54641,5.605632,176.888,12.3218,0.17649,-2.36715
2.28461,5.919245999999999,181.795,5.74623,0.202201,-3.46423
2.53437,5.975568,217.607,28.4834,0.283118,-7.94296
2.15108,5.897592,295.813,19.7501,0.310789,-7.72742
0.993581,5.727672,207.329,15.4732,0.263932,-6.75038
1.52874,5.555052,260.907,10.9636,0.349072,-12.4017
2.33306,5.567076,227.776,15.3922,0.339952,-13.1141
3.34468,5.514138,299.454,20.4926,0.323923,-8.62759
2.88771,5.48757,268.141,15.0912,0.496335,-34.6481
3.61461,5.500566,306.222,16.601,0.35276,-10.8895
