Gs_1,Gs_2,Gs_3,Ts_0cm,Ts_2cm,Ts_4cm,Ts_10cm,Ts_20cm,Ts_40cm,Ts_60cm,Ts_100cm,Ms_2cm
-26.37,-31.55333333333333,-36.88999999999999,10.356666666666667,15.183333333333335,16.746666666666666,17.156666666666666,17.066666666666666,13.323333333333332,11.793333333333331,10.846666666666666,2.335666666666667
-25.956666666666667,-29.94,-34.973333333333336,9.963333333333331,14.663333333333334,16.186666666666667,16.616666666666667,16.939999999999998,13.37,11.81,10.853333333333332,2.3236666666666665
-26.17,-29.929999999999996,-34.306666666666665,9.436666666666667,14.163333333333332,15.713333333333331,16.156666666666666,16.80333333333333,13.42,11.8,10.876666666666663,2.308333333333333
-26.25,-30.0,-35.059999999999995,8.736666666666666,13.683333333333332,15.253333333333332,15.72,16.663333333333334,13.456666666666663,11.77,10.863333333333337,2.2976666666666667
-27.37,-31.44333333333333,-35.59666666666667,8.136666666666667,13.160000000000002,14.810000000000002,15.306666666666668,16.52,13.493333333333334,11.82,10.913333333333334,2.295
-27.67,-31.44666666666667,-34.97,7.672666666666667,12.663333333333334,14.333333333333334,14.86,16.34,13.493333333333334,11.776666666666666,10.856666666666667,2.2856666666666663
-27.886666666666667,-31.566666666666663,-34.73,7.142,12.233333333333334,13.926666666666668,14.483333333333334,16.163333333333334,13.546666666666669,11.826666666666666,10.83,2.271666666666667
-28.9,-33.306666666666665,-37.38,6.203666666666667,11.763333333333334,13.550000000000002,14.13,16.016666666666666,13.593333333333334,11.83,10.88,2.257
-30.013333333333335,-34.15,-36.37333333333333,5.766000000000001,11.266666666666666,13.11,13.74,15.833333333333334,13.64,11.796666666666669,10.876666666666663,2.255333333333333
-31.176666666666662,-36.14000000000001,-38.82333333333333,4.917000000000001,10.75,12.696666666666667,13.356666666666667,15.67,13.663333333333334,11.823333333333332,10.920000000000002,2.24
-31.463333333333335,-35.53666666666667,-37.016666666666666,4.580333333333333,10.329999999999998,12.28,12.966666666666669,15.476666666666668,13.673333333333334,11.839999999999998,10.9,2.2263333333333333
-31.176666666666662,-34.43333333333334,-33.589999999999996,4.808,10.013333333333334,11.923333333333334,12.62,15.316666666666668,13.716666666666669,11.9,10.92,2.215666666666667
-29.073333333333338,-31.41,-30.929999999999996,4.721333333333334,9.86,11.643333333333333,12.306666666666668,15.123333333333337,13.72,11.893333333333333,10.946666666666667,2.2163333333333335
-29.236666666666668,-33.14333333333334,-35.29333333333333,3.801,9.483333333333333,11.346666666666666,12.01,14.903333333333334,13.753333333333332,11.86,10.943333333333332,2.215333333333333
-30.74666666666667,-35.11666666666667,-36.98333333333333,3.094333333333333,9.026666666666666,10.976666666666668,11.683333333333332,14.696666666666664,13.71,11.86,10.910000000000002,2.213333333333334
-32.080000000000005,-36.74,-38.71666666666667,2.4643333333333337,8.586666666666666,10.63,11.386666666666663,14.52,13.763333333333334,11.886666666666668,10.97,2.197333333333334
-32.46666666666667,-36.196666666666665,-36.46,2.3453333333333335,8.233333333333333,10.27,11.063333333333333,14.353333333333332,13.766666666666666,11.89,10.956666666666663,2.186
-31.123333333333335,-33.63333333333333,-32.40333333333333,2.6523333333333334,8.009333333333334,9.933333333333332,10.71,14.123333333333331,13.733333333333334,11.913333333333334,10.92,2.185
-29.25,-31.453333333333333,-30.94333333333333,2.5223333333333335,7.892666666666667,9.73,10.486666666666666,13.94,13.743333333333334,11.93,10.936666666666667,2.184
-28.48333333333333,-30.94666666666667,-30.80333333333333,2.2363333333333335,7.712333333333333,9.513333333333334,10.256666666666666,13.756666666666666,13.723333333333334,11.913333333333334,10.923333333333332,2.180333333333333
-28.046666666666667,-30.23,-27.95,2.537333333333333,7.504666666666666,9.26,10.013333333333334,13.53,13.686666666666667,11.876666666666669,10.883333333333336,2.178666666666667
-25.013333333333335,-24.203333333333333,-14.190666666666669,4.300333333333334,7.701666666666667,9.183333333333332,9.86,13.373333333333331,13.68,11.916666666666666,10.923333333333334,2.1953333333333336
-16.796666666666667,-10.781999999999998,3.1186666666666665,5.987666666666667,8.47,9.343333333333334,9.84,13.196666666666667,13.663333333333334,11.916666666666666,10.976666666666668,2.2246666666666672
-9.956666666666669,-3.28,12.734666666666667,7.384666666666668,9.26,9.76,10.006666666666666,13.066666666666668,13.68,11.966666666666669,11.01,2.254333333333333
3.852,19.02,43.453333333333326,10.78,10.753333333333332,10.383333333333333,10.296666666666669,12.896666666666668,13.653333333333334,11.953333333333331,10.976666666666668,2.311
19.82,37.51333333333333,60.19333333333333,13.756666666666666,12.8,11.449999999999998,10.93,12.766666666666666,13.606666666666667,11.956666666666669,10.983333333333334,2.3833333333333333
35.52666666666667,56.879999999999995,81.56666666666666,17.13,15.083333333333334,12.786666666666669,11.816666666666668,12.683333333333332,13.583333333333334,11.949999999999998,10.966666666666669,2.4613333333333336
46.96,64.23333333333333,75.71666666666667,17.97666666666667,17.01666666666667,14.273333333333332,12.92,12.646666666666668,13.579999999999998,12.0,11.01,2.525
49.123333333333335,63.81,71.91333333333333,18.836666666666662,18.27333333333333,15.456666666666669,13.96,12.68,13.533333333333331,12.016666666666666,11.04,2.563
58.73333333333334,81.26666666666667,105.90000000000002,22.42,20.21333333333333,16.64333333333333,14.943333333333332,12.766666666666666,13.496666666666668,11.993333333333334,11.01,2.6253333333333333
79.2,107.43333333333332,132.16666666666666,25.063333333333336,23.069999999999997,18.386666666666667,16.18,12.926666666666668,13.453333333333331,12.0,11.016666666666666,2.707333333333333
87.86666666666667,108.93333333333334,106.99666666666668,25.176666666666662,25.026666666666667,20.16,17.633333333333333,13.12,13.406666666666666,11.98,10.99,2.7550000000000003
73.40333333333332,80.10666666666667,73.82666666666667,24.233333333333334,25.02333333333333,21.156666666666663,18.866666666666667,13.403333333333334,13.353333333333332,12.0,11.01,2.73
72.13,87.83333333333333,99.26666666666668,26.24666666666667,25.88,21.80333333333333,19.636666666666667,13.72,13.336666666666666,12.0,11.013333333333334,2.738999999999999
75.75666666666666,86.86666666666667,78.36333333333333,25.28,26.843333333333337,22.77333333333333,20.51,14.093333333333334,13.293333333333337,12.036666666666669,10.993333333333334,2.7503333333333333
62.73333333333333,66.23,55.24666666666667,24.633333333333336,26.50666666666667,23.209999999999997,21.2,14.48,13.25,12.050000000000002,10.993333333333334,2.7176666666666662
55.73666666666666,61.60666666666666,60.696666666666665,25.526666666666667,26.39,23.353333333333335,21.570000000000004,14.87,13.246666666666668,12.036666666666669,10.993333333333334,2.7006666666666668
53.72,55.18666666666667,38.49,23.723333333333333,26.42,23.65,21.930000000000003,15.253333333333332,13.256666666666666,12.036666666666669,11.006666666666666,2.686
38.05,32.95666666666667,16.966666666666665,21.986666666666668,25.363333333333333,23.486666666666668,22.11,15.62,13.243333333333334,12.056666666666668,11.056666666666668,2.642333333333333
28.363333333333333,25.05333333333333,11.906666666666666,21.333333333333332,24.53333333333333,23.063333333333333,21.94,15.943333333333332,13.206666666666669,12.023333333333332,11.026666666666666,2.607
20.37,15.1,0.7583333333333333,19.976666666666667,23.66333333333333,22.65,21.73,16.25,13.186666666666667,12.073333333333332,11.073333333333332,2.5726666666666667
11.886666666666663,4.874666666666666,-11.808,18.186666666666667,22.643333333333334,22.106666666666666,21.403333333333336,16.503333333333334,13.160000000000002,12.046666666666669,11.06,2.5356666666666667
2.752333333333333,-4.910666666666667,-18.48333333333333,16.74,21.49333333333333,21.44333333333334,20.976666666666667,16.733333333333334,13.196666666666667,12.043333333333331,11.073333333333332,2.4956666666666667
-4.320333333333333,-12.886666666666663,-26.97,15.076666666666668,20.353333333333335,20.716666666666665,20.45,16.893333333333334,13.223333333333334,12.08,11.093333333333334,2.4583333333333335
-11.78,-21.326666666666664,-36.35666666666666,13.873333333333331,19.12666666666667,19.933333333333337,19.86,17.016666666666666,13.266666666666666,12.093333333333334,11.103333333333332,2.4186666666666667
-20.416666666666668,-32.330000000000005,-47.54666666666666,10.823333333333332,17.69,19.043333333333333,19.19666666666667,17.093333333333334,13.29,12.123333333333337,11.13,2.373
-28.26,-40.0,-49.54666666666666,8.753333333333332,16.263333333333332,18.046666666666667,18.416666666666668,17.096666666666668,13.303333333333333,12.066666666666668,11.089999999999998,2.337
-32.07,-41.796666666666674,-47.44,8.089666666666668,15.15,17.12,17.613333333333333,17.039999999999996,13.333333333333334,12.076666666666668,11.113333333333337,2.3073333333333337
-33.52333333333333,-41.833333333333336,-46.92000000000001,6.842,14.27,16.319999999999997,16.863333333333333,16.986666666666668,13.37,12.08,11.089999999999998,2.292666666666667
-36.79,-46.25,-54.52,4.376666666666666,13.243333333333334,15.55,16.173333333333336,16.883333333333333,13.406666666666666,12.08,11.116666666666664,2.261333333333333
-41.04333333333333,-50.81666666666666,-56.73,2.6793333333333336,12.160000000000002,14.73,15.463333333333331,16.743333333333336,13.453333333333331,12.096666666666666,11.116666666666667,2.228666666666667
-43.46666666666666,-52.49,-56.24666666666667,1.894,11.2,13.913333333333334,14.736666666666666,16.563333333333333,13.493333333333334,12.073333333333332,11.126666666666663,2.2083333333333335
-44.66,-52.623333333333335,-54.806666666666665,1.4846666666666666,10.373333333333331,13.163333333333334,14.026666666666666,16.36,13.54,12.086666666666666,11.136666666666668,2.1803333333333335
-45.086666666666666,-52.18333333333334,-53.42666666666667,0.91,9.63,12.446666666666667,13.343333333333334,16.133333333333336,13.54,12.053333333333333,11.123333333333337,2.169
-45.123333333333335,-51.63333333333333,-52.16,0.2296666666666666,9.003333333333332,11.83,12.75,15.906666666666666,13.61,12.086666666666666,11.14,2.143
-44.93,-51.163333333333334,-51.16,-0.6233333333333333,8.396666666666667,11.24,12.160000000000002,15.633333333333336,13.636666666666663,12.066666666666668,11.153333333333334,2.132333333333333
