Wnd,H2O,Hs,LE,Ustar,L
1.8413,1.879704,-1.79644,0.0207587,0.0769522,20.6754
1.53448,1.83294,10.8408,-0.453921,0.0594597,-1.58065
2.40803,1.966572,15.7148,-0.040686,0.109001,-6.7188
2.01387,1.903806,11.7303,0.531462,0.0654231,-1.94651
1.40709,1.900728,-6.99795,0.869064,0.0959359,10.2895
1.5143,2.016918,54.5069,4.71514,0.146971,-4.75106
2.41038,2.173482,95.3059,2.6622,0.111621,-1.19043
2.29613,2.079036,119.987,3.54675,0.076233,-0.301232
2.3296,2.090682,185.33,2.01737,0.286361,-10.3367
2.47303,2.097378,202.697,2.59134,0.223706,-4.50537
2.88313,2.30769,175.187,1.42788,0.214599,-4.6012
2.79345,2.511234,239.414,-1.66985,0.20851,-3.08738
3.87275,2.777724,212.981,-3.16474,0.312303,-11.6591
3.49943,2.95641,296.139,-9.63411,0.290289,-6.73308
3.98535,3.272634,267.542,4.68434,0.30392,-8.55086
4.93506,3.199626,284.104,3.48369,0.439439,-24.3337
4.8072,3.163842,283.625,1.46836,0.40224,-18.6875
3.40599,3.18852,225.105,2.03275,0.272474,-7.31647
2.95955,3.1743,164.612,0.588646,0.268722,-9.59384
2.00664,3.114666,132.776,1.87196,0.236757,-8.13178
2.98941,3.025152,117.918,0.650956,0.292926,-17.3373
3.56442,2.952,98.9335,0.596101,0.294812,-21.0612
3.92508,2.955024,62.6989,-0.713341,0.212517,-12.4461
3.09101,2.965608,23.8078,-1.35048,0.142567,-9.8948
2.31533,2.960046,-0.729186,-0.640363,0.0678637,34.8397
1.42085,2.856222,-25.1558,-4.05422,0.110073,4.30821
2.34792,2.8548,2.44976,-2.67568,0.0726267,-12.706
2.67871,3.025548,-6.99355,-0.679397,0.083315,6.72018
2.76417,3.062448,-8.63518,-0.84627,0.0831612,5.41319
2.84008,3.07665,-10.7096,-0.825856,0.0990874,7.38317
2.45628,3.054312,-9.96613,-0.748676,0.0866678,5.30842
2.53411,3.01419,-6.67478,-0.668424,0.0907522,9.09911
2.67948,3.023586,-11.56,-0.904781,0.0989972,6.819
2.61345,2.939256,-8.12661,-0.196133,0.0787066,4.87379
2.37386,2.904426,-4.57208,-0.306635,0.0432655,1.43883
1.78592,2.987118,3.43716,0.342788,0.071453,-8.62008
2.03822,2.948886,-1.52559,0.278071,0.0606112,11.854
1.77798,2.968632,-2.04322,0.450068,0.0515968,5.46062
1.53459,2.909556,0.0990417,0.63223,0.0288669,-19.7283
1.76429,2.889468,-1.08496,0.252844,0.0381528,4.15747
